                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.82816,                0.70664,                 1.3727,                0.93461,                0.87405,                0.96223,                  0.699,                0.95744,                0.58724,                 1.4748,              0.0011833,              0.0011833,              0.0011833
                     36,                0.82511,                0.70662,                 1.3626,                0.94555,                0.91047,                0.96748,                 0.7476,                0.82757,                0.52513,                 1.3771,              0.0011585,              0.0011585,              0.0011585
                     37,                0.80347,                0.67965,                 1.3478,                0.92395,                0.90288,                0.96469,                0.74675,                0.82629,                0.52999,                 1.3673,              0.0011337,              0.0011337,              0.0011337
                     38,                0.79669,                0.67704,                 1.3481,                0.92499,                0.89833,                0.95965,                 0.6936,                0.91709,                0.60283,                 1.4644,               0.001109,               0.001109,               0.001109
                     39,                0.80013,                0.69724,                 1.3536,                0.93935,                0.89313,                0.96754,                0.72975,                0.86408,                0.56397,                 1.4273,              0.0010842,              0.0010842,              0.0010842
                     40,                0.79583,                0.67186,                 1.3431,                0.91552,                0.90452,                0.96523,                 0.7374,                0.83789,                0.54503,                 1.3906,              0.0010595,              0.0010595,              0.0010595
                     41,                0.78537,                0.66741,                 1.3379,                0.93616,                0.89833,                0.96761,                0.72024,                0.87129,                0.55482,                 1.4076,              0.0010347,              0.0010347,              0.0010347
                     42,                0.78587,                0.66317,                 1.3387,                0.95353,                0.89378,                0.96675,                0.73773,                0.82936,                0.56196,                 1.3935,                0.00101,                0.00101,                0.00101
                     43,                 0.7775,                0.66105,                 1.3275,                0.93313,                0.91053,                0.97059,                0.76329,                0.77585,                0.50344,                 1.3374,             0.00098525,             0.00098525,             0.00098525
                     44,                0.76444,                0.64846,                 1.3184,                0.93885,                0.90862,                0.96316,                0.69589,                0.89983,                0.59434,                 1.4455,              0.0009605,              0.0009605,              0.0009605
                     45,                0.75162,                0.63422,                 1.3061,                0.95423,                0.89681,                0.96992,                0.72533,                0.84861,                0.55527,                  1.376,             0.00093575,             0.00093575,             0.00093575
                     46,                0.76377,                0.64228,                  1.315,                0.95912,                0.88997,                0.96671,                0.74812,                0.79859,                0.50995,                 1.3421,               0.000911,               0.000911,               0.000911
                     47,                 0.7588,                0.63607,                   1.31,                0.93456,                 0.8953,                0.96227,                 0.7386,                0.80906,                 0.5549,                 1.3501,             0.00088625,             0.00088625,             0.00088625
                     48,                0.75123,                 0.6253,                 1.3073,                0.93975,                0.91502,                0.97453,                0.76436,                0.77087,                0.47525,                 1.3276,              0.0008615,              0.0008615,              0.0008615
                     49,                0.74437,                0.62273,                 1.3016,                0.94633,                0.90966,                  0.972,                0.77011,                0.75868,                0.47678,                 1.3147,             0.00083675,             0.00083675,             0.00083675
                     50,                0.73285,                0.61021,                 1.2939,                0.93474,                0.91288,                0.97377,                0.75386,                0.78683,                0.49307,                 1.3379,               0.000812,               0.000812,               0.000812
                     51,                0.73999,                0.60491,                 1.2965,                0.95982,                0.90629,                0.97516,                0.76771,                0.74479,                0.48549,                  1.307,             0.00078725,             0.00078725,             0.00078725
                     52,                0.72979,                0.60911,                 1.2875,                0.95212,                0.91958,                0.96897,                0.74983,                0.78403,                0.50468,                 1.3408,              0.0007625,              0.0007625,              0.0007625
                     53,                0.73508,                0.60865,                 1.2991,                0.95048,                0.90297,                0.97197,                0.76406,                0.75694,                0.49601,                  1.317,             0.00073775,             0.00073775,             0.00073775
                     54,                 0.7166,                0.59651,                 1.2796,                0.94828,                0.91809,                0.97457,                0.77037,                0.74612,                0.48885,                 1.2991,               0.000713,               0.000713,               0.000713
                     55,                0.71056,                0.58772,                 1.2679,                0.95583,                0.91949,                0.97686,                0.76351,                0.77382,                0.48804,                 1.3245,             0.00068825,             0.00068825,             0.00068825
                     56,                0.70436,                0.57726,                 1.2704,                0.92582,                0.93323,                 0.9715,                0.75932,                 0.7621,                0.49041,                 1.3121,              0.0006635,              0.0006635,              0.0006635
                     57,                0.70863,                0.57964,                 1.2673,                0.92644,                 0.9174,                0.96777,                0.71316,                0.85031,                0.54935,                 1.4167,             0.00063875,             0.00063875,             0.00063875
                     58,                0.69699,                0.56797,                 1.2654,                0.95273,                0.91747,                0.97197,                0.75435,                0.76255,                0.49475,                  1.329,               0.000614,               0.000614,               0.000614
                     59,                0.69611,                0.56896,                 1.2637,                0.95493,                0.91502,                0.97685,                0.76501,                0.77786,                 0.4722,                 1.3287,             0.00058925,             0.00058925,             0.00058925
                     60,                0.68544,                0.56089,                 1.2551,                0.95747,                0.92241,                0.97994,                0.77463,                0.74982,                0.45703,                 1.3001,              0.0005645,              0.0005645,              0.0005645
                     61,                0.69106,                0.56186,                 1.2539,                0.94115,                0.92223,                0.97427,                0.77634,                 0.7349,                0.46466,                 1.3004,             0.00053975,             0.00053975,             0.00053975
                     62,                0.68918,                0.55357,                 1.2526,                0.96333,                0.91047,                0.97674,                0.79078,                 0.7127,                 0.4424,                 1.2712,               0.000515,               0.000515,               0.000515
                     63,                 0.6832,                0.55501,                 1.2499,                0.96085,                0.91199,                0.97504,                0.72604,                0.81983,                0.51275,                 1.3738,             0.00049025,             0.00049025,             0.00049025
                     64,                0.68491,                0.55151,                 1.2527,                0.96029,                0.91729,                0.97415,                0.77967,                  0.738,                0.46428,                 1.2882,              0.0004655,              0.0004655,              0.0004655
                     65,                0.66981,                0.54025,                   1.24,                0.96234,                0.93068,                0.97909,                0.78724,                0.72482,                0.44731,                 1.2784,             0.00044075,             0.00044075,             0.00044075
                     66,                0.66636,                0.53958,                   1.24,                 0.9624,                0.91654,                0.97607,                0.78084,                0.71453,                0.43941,                 1.2774,               0.000416,               0.000416,               0.000416
